bus,id,model_name,model_category,connected_controlled_bus_candidates,source_line_start,source_line_end
2000,1,GENCLS,generator,,1,1
2,,SIPIF6,PPC,111;99;2001;9001;10;10010;10023;23;10005;5;10004;4;800;613;802;639;804;665;806;691;10089;89;808;717;8;15;6,3,59
10010,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,62,73
10010,1,SIAUX1,auxiliary,107;5;9;2;4;15,74,76
10011,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,78,89
10011,1,SIAUX1,auxiliary,107;5;9;2;4;15,90,92
10012,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,94,105
10012,1,SIAUX1,auxiliary,107;5;9;2;4;15,106,108
10013,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,110,121
10013,1,SIAUX1,auxiliary,107;5;9;2;4;15,122,124
10015,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,126,137
10015,1,SIAUX1,auxiliary,107;5;9;2;4;15,138,140
10016,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,142,153
10016,1,SIAUX1,auxiliary,107;5;9;2;4;15,154,156
10017,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,158,169
10017,1,SIAUX1,auxiliary,107;5;9;2;4;15,170,172
10018,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,174,185
10018,1,SIAUX1,auxiliary,107;5;9;2;4;15,186,188
10019,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,190,201
10019,1,SIAUX1,auxiliary,107;5;9;2;4;15,202,204
10020,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,206,217
10020,1,SIAUX1,auxiliary,107;5;9;2;4;15,218,220
10021,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,222,233
10021,1,SIAUX1,auxiliary,107;5;9;2;4;15,234,236
10022,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,238,249
10022,1,SIAUX1,auxiliary,107;5;9;2;4;15,250,252
10132,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,254,265
10132,1,SIAUX1,auxiliary,107;5;9;2;4;15,266,268
10133,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,270,281
10133,1,SIAUX1,auxiliary,107;5;9;2;4;15,282,284
10135,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,286,297
10135,1,SIAUX1,auxiliary,107;5;9;2;4;15,298,300
10136,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,302,313
10136,1,SIAUX1,auxiliary,107;5;9;2;4;15,314,316
10137,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,318,329
10137,1,SIAUX1,auxiliary,107;5;9;2;4;15,330,332
10138,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,334,345
10138,1,SIAUX1,auxiliary,107;5;9;2;4;15,346,348
10139,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,350,361
10139,1,SIAUX1,auxiliary,107;5;9;2;4;15,362,364
10140,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,366,377
10140,1,SIAUX1,auxiliary,107;5;9;2;4;15,378,380
10141,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,382,393
10141,1,SIAUX1,auxiliary,107;5;9;2;4;15,394,396
10142,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,398,409
10142,1,SIAUX1,auxiliary,107;5;9;2;4;15,410,412
10143,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,414,425
10143,1,SIAUX1,auxiliary,107;5;9;2;4;15,426,428
10147,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,430,441
10147,1,SIAUX1,auxiliary,107;5;9;2;4;15,442,444
10251,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,446,457
10251,1,SIAUX1,auxiliary,107;5;9;2;4;15,458,460
10252,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,462,473
10252,1,SIAUX1,auxiliary,107;5;9;2;4;15,474,476
10253,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,478,489
10253,1,SIAUX1,auxiliary,107;5;9;2;4;15,490,492
10255,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,494,505
10255,1,SIAUX1,auxiliary,107;5;9;2;4;15,506,508
10256,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,510,521
10256,1,SIAUX1,auxiliary,107;5;9;2;4;15,522,524
10257,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,526,537
10257,1,SIAUX1,auxiliary,107;5;9;2;4;15,538,540
10258,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,542,553
10258,1,SIAUX1,auxiliary,107;5;9;2;4;15,554,556
10259,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,558,569
10259,1,SIAUX1,auxiliary,107;5;9;2;4;15,570,572
10260,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,574,585
10260,1,SIAUX1,auxiliary,107;5;9;2;4;15,586,588
10261,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,590,601
10261,1,SIAUX1,auxiliary,107;5;9;2;4;15,602,604
10262,1,SGCVTF0131101,inverter,20;4;2;17;30;10;100;150;700;13;18;8;5;98;9,606,617
10262,1,SIAUX1,auxiliary,107;5;9;2;4;15,618,620
