bus,id,status,Pgen,Qgen,Pmax,Pmin,Qmax,Qmin,MBASE,voltage_setpoint,regulated_bus,WMOD,WPF
2000,1,1,5.164951831102371,-16.698278486728668,9998.999786376953,-9998.999786376953,923.0500221252441,-923.0500221252441,923.0499877929688,0.8999999761581421,2,0,1.0
10004,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10004,1,1.0
10005,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10005,1,1.0
10006,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10006,1,1.0
10007,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10007,1,1.0
10008,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10008,1,1.0
10009,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10009,1,1.0
10010,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10010,1,1.0
10011,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10011,1,1.0
10012,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10012,1,1.0
10013,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10013,1,1.0
10015,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10015,1,1.0
10016,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10016,1,1.0
10017,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10017,1,1.0
10018,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10018,1,1.0
10019,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10019,1,1.0
10020,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10020,1,1.0
10021,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10021,1,1.0
10022,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10022,1,1.0
10023,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10023,1,1.0
10024,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10024,1,1.0
10026,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10026,1,1.0
10027,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10027,1,1.0
10028,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10028,1,1.0
10029,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10029,1,1.0
10030,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10030,1,1.0
10085,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10085,1,1.0
10086,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10086,1,1.0
10087,1,1,0.0,0.0,0.0,0.0,0.0,0.0,4.400000095367432,1.0,10087,1,1.0
