from_bus,to_bus,circuit_id,status,tap,tap_wind2,impedance,P_MW,Q_Mvar,loading_percent,RATEA,RATEB,RATEC,name,flow_source
626,813,1,1,1.0,1.0499999523162842,(0.375+2.9764699935913086j);0j;0j,,,,2.0,2.0,2.0,AUX. TR SS2-,not_available
639,814,1,1,1.0,1.0499999523162842,(0.375+2.9764699935913086j);0j;0j,,,,2.0,2.0,2.0,AUX. TR SS2- _1,not_available
761,835,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(16),not_available
763,834,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(15),not_available
764,836,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(17),not_available
769,837,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(18),not_available
774,830,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(12),not_available
775,829,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(11),not_available
780,831,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(13),not_available
781,833,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(14),not_available
786,828,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(10),not_available
787,827,1,1,1.0,1.0,0.07162529975175858j;0j;0j,,,,18.149999618530273,18.149999618530273,18.149999618530273,ET1_1(9),not_available
9001,2001,1,1,1.0,1.0,(0.00013800000306218863+0.014666668139398098j);0j;0j,,,,0.0,0.0,0.0,,not_available
